name,connection,quote
O.J. Simpson,Defendent,I dont understand what I did wrong except live a life that everyone is jealous of.
Nicole Brown Simpson,Victim,I am afraid this man will kill me some day.
Ron Goldman,Victim,"Those who would circumcise, implicitly suggest that they know better than nature, God, or whatever power created us and our world."
Marcia Clark,Lead Prosecutor,I loved my job... then the Simpson case happened.
Christopher Darden,Prosecutor,"I chose to go to law school because I thought that someday, somehow I'd make a difference."
Robert Kardashian,Defense,O.J. Simpson never lied to me.
Johnnie Cochran,Defense,"If it doesn't fit, you must acquit."
Robert Shapiro,Defense,"Race is not, and will not be an issue in this case."
Lance Ito,Judge,"If you have a camera in the courtroom, there's no filtering. What you see is what's there."
Mark Fuhrman,Detective and Witness,"Johnnie Cochran hasn't spent 20 years serving people in low-income, minority neighborhoods, ridding them of gangs and narcotics. I have. He hasn't been shot at and punched. I have. I've paid my dues to be able to say I'm not a racist."